timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673376849118,395,get_method,200,OK,Thread Group 1-165,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,395,0,46
1673376849116,397,HTTP Request test,200,OK,Thread Group 1-547,text,true,,195,128,600,600,http://162.55.220.72:5005/first,397,0,42
1673376849117,397,HTTP Request test,200,OK,Thread Group 1-299,text,true,,195,128,600,600,http://162.55.220.72:5005/first,396,0,45
1673376849116,398,object_info_1,200,OK,Thread Group 1-4,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,398,0,46
1673376849116,400,HTTP Request test,200,OK,Thread Group 1-135,text,true,,195,128,600,600,http://162.55.220.72:5005/first,399,0,48
1673376849128,391,get_method,200,OK,Thread Group 1-484,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,391,0,44
1673376849126,393,get_method,200,OK,Thread Group 1-51,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,393,0,46
1673376849127,399,get_method,200,OK,Thread Group 1-116,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,399,0,46
1673376849130,397,HTTP Request test,200,OK,Thread Group 1-476,text,true,,195,128,600,600,http://162.55.220.72:5005/first,397,0,43
1673376849132,397,HTTP Request test,200,OK,Thread Group 1-178,text,true,,195,128,600,600,http://162.55.220.72:5005/first,396,0,41
1673376849127,410,object_info_1,200,OK,Thread Group 1-446,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,410,0,45
1673376849130,411,HTTP Request test,200,OK,Thread Group 1-598,text,true,,195,128,600,600,http://162.55.220.72:5005/first,411,0,43
1673376849132,413,object_info_1,200,OK,Thread Group 1-276,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,413,0,44
1673376849138,410,object_info_1,200,OK,Thread Group 1-318,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,410,0,43
1673376845843,3714,object_info_1,200,OK,Thread Group 1-158,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,3714,0,47
1673376845838,3721,object_info_1,200,OK,Thread Group 1-567,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,3721,0,52
1673376848546,1017,HTTP Request test,200,OK,Thread Group 1-119,text,true,,195,128,600,600,http://162.55.220.72:5005/first,1017,0,45
1673376844842,4724,get_method,200,OK,Thread Group 1-430,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,4724,0,1053
1673376849141,425,object_info_1,200,OK,Thread Group 1-200,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,425,0,44
1673376849138,430,HTTP Request test,200,OK,Thread Group 1-309,text,true,,195,128,600,600,http://162.55.220.72:5005/first,430,0,43
